Age_08_04,KM,HP,Automatic,cc,Doors,Weight,Fuel_Type_Diesel,Fuel_Type_Petrol
79,131500,72,0,2000,5,1140,True,False
69,75000,86,0,1300,4,1000,False,True
65,111769,110,0,1600,3,1065,False,True
65,57374,110,0,1600,5,1075,False,True
74,137741,90,0,2000,5,1135,True,False
80,23000,86,0,1300,3,1015,False,True
76,36537,110,1,1600,4,1075,False,True
68,80121,110,0,1600,5,1070,False,True
80,64000,110,0,1600,3,1055,False,True
67,76569,86,0,1300,3,1020,False,True
55,117175,110,0,1600,4,1035,False,True
50,70440,69,0,1900,3,1105,True,False
78,120000,110,0,1600,5,1075,False,True
48,26938,110,0,1600,3,1040,False,True
35,33258,110,0,1600,5,1075,False,True
42,37000,97,0,1400,3,1025,False,True
77,72703,110,0,1600,3,1050,False,True
60,54554,110,0,1600,3,1065,False,True
25,32189,192,0,1800,3,1185,False,True
8,11000,110,0,1600,5,1130,False,True
41,51732,97,0,1400,3,1025,False,True
78,97534,110,0,1600,5,1070,False,True
65,75000,86,0,1300,3,1015,False,True
65,85889,110,0,1600,3,1065,False,True
11,25000,116,0,2000,5,1320,True,False
62,88667,110,0,1600,4,1040,False,True
68,77695,110,0,1600,4,1035,False,True
65,91246,86,0,1300,3,1015,False,True
20,23000,110,0,1600,5,1130,False,True
75,76382,110,0,1600,3,1055,False,True
35,71200,110,0,1600,5,1075,False,True
78,72090,110,0,1600,5,1070,False,True
54,101352,110,0,1600,5,1080,False,True
41,34000,110,0,1600,5,1075,False,True
39,40000,110,0,1600,3,1055,False,True
57,72000,86,0,1300,3,1015,False,True
68,102494,110,0,1600,5,1090,False,True
59,46929,86,0,1300,3,1025,False,True
75,64000,107,1,1600,3,1085,False,True
66,63328,86,1,1300,5,1065,False,True
65,74179,110,0,1600,3,1050,False,True
55,56743,110,0,1600,3,1045,False,True
61,78063,107,1,1600,5,1100,False,True
26,48000,90,0,2000,3,1165,True,False
80,35821,86,1,1300,3,1015,False,True
56,66777,110,0,1600,5,1090,False,True
36,36269,110,0,1600,5,1075,False,True
32,61000,90,0,2000,3,1170,True,False
76,71000,110,0,1600,3,1050,False,True
66,52383,86,0,1300,3,1015,False,True
78,96000,86,0,1300,3,1015,False,True
27,27500,97,0,1400,3,1100,False,True
52,46029,110,0,1600,4,1030,False,True
43,58277,110,0,1600,3,1045,False,True
19,27371,97,0,1400,5,1135,False,True
62,71000,110,0,1600,5,1070,False,True
78,74926,110,0,1600,5,1075,False,True
60,139800,72,0,2000,3,1115,True,False
60,31480,110,0,1600,3,1065,False,True
75,69388,86,0,1300,3,1010,False,True
65,49942,110,0,1600,3,1065,False,True
68,30300,86,0,1300,4,1000,False,True
75,65006,86,0,1300,3,1015,False,True
39,12000,110,0,1600,5,1075,False,True
43,37576,97,0,1400,3,1030,False,True
46,75249,110,0,1600,4,1035,False,True
44,37000,110,0,1600,4,1075,False,True
73,97494,110,0,1600,5,1085,False,True
59,86888,110,0,1600,3,1050,False,True
52,89000,110,0,1600,5,1075,False,True
50,41273,97,0,1400,5,1060,False,True
62,70500,110,0,1600,5,1035,False,True
62,93098,110,0,1600,5,1075,False,True
73,97085,110,0,1600,5,1085,False,True
77,126000,110,0,1600,5,1050,False,True
34,65345,97,0,1400,5,1060,False,True
65,114383,90,0,2000,3,1260,True,False
78,71186,110,0,1600,3,1050,False,True
78,180378,72,0,2000,4,1100,True,False
62,125175,116,0,2000,5,1150,True,False
28,30993,110,0,1600,5,1130,False,True
72,112000,86,0,1300,3,1015,False,True
46,33021,110,0,1600,5,1080,False,True
65,59000,110,0,1600,3,1050,False,True
40,80425,90,0,2000,5,1205,True,False
58,54000,86,0,1300,5,1035,False,True
60,89576,110,0,1600,4,1035,False,True
56,47211,110,0,1600,5,1070,False,True
62,64966,86,0,1300,3,1020,False,True
68,84976,110,0,1600,4,1035,False,True
28,8537,110,0,1600,5,1130,False,True
77,71900,86,0,1300,3,1015,False,True
68,54875,110,0,1600,5,1070,False,True
59,67010,110,0,1600,3,1065,False,True
76,83405,110,0,1600,5,1070,False,True
77,71825,110,0,1600,5,1075,False,True
66,15110,86,0,1300,5,1035,False,True
80,62581,110,0,1600,5,1075,False,True
66,58113,107,1,1600,3,1085,False,True
34,48011,110,0,1600,4,1030,False,True
67,52800,86,0,1300,3,1015,False,True
41,24000,97,0,1400,3,1025,False,True
24,41711,90,0,2000,3,1165,True,False
27,94612,90,0,2000,3,1245,True,False
44,38461,110,0,1600,5,1080,False,True
68,155720,86,0,1300,3,1015,False,True
65,64772,110,0,1600,3,1050,False,True
79,40093,110,0,1600,5,1114,False,True
33,77321,110,0,1600,5,1075,False,True
60,130270,110,0,1600,3,1050,False,True
29,41415,110,0,1600,3,1120,False,True
80,70939,110,1,1600,5,1100,False,True
61,63000,86,1,1300,3,1050,False,True
59,137050,110,0,1600,3,1078,False,False
65,36000,86,0,1300,3,1015,False,True
62,80265,86,0,1300,3,1015,False,True
68,77008,86,0,1300,3,1015,False,True
38,53000,110,0,1600,5,1075,False,True
25,28450,110,0,1600,3,1120,False,True
33,31000,110,0,1600,5,1075,False,True
56,35230,97,0,1400,3,1025,False,True
22,75048,97,0,1400,5,1110,False,True
14,11500,110,0,1600,3,1045,False,True
33,27240,110,0,1600,5,1075,False,True
32,45725,110,0,1600,5,1075,False,True
78,159968,72,0,2000,3,1115,True,False
40,78425,110,0,1600,5,1075,False,True
13,57037,110,0,1600,5,1115,False,True
67,54847,110,0,1600,3,1050,False,True
66,45000,86,0,1300,5,1035,False,True
28,28817,110,0,1598,5,1130,False,True
68,90727,110,0,1600,3,1050,False,True
62,112000,72,0,2000,4,1135,True,False
23,84000,90,0,2000,5,1270,True,False
78,87000,110,0,1600,4,1035,False,True
49,49568,110,0,1600,3,1105,False,True
60,74337,86,0,1300,5,1035,False,True
78,57628,110,0,1600,5,1075,False,True
60,55085,107,1,1600,5,1105,False,True
52,47689,110,0,1600,5,1075,False,True
58,205000,72,0,2000,4,1100,True,False
55,68520,72,0,2000,3,1115,True,False
66,81250,110,0,1600,3,1050,False,True
76,84472,110,0,1600,5,1070,False,True
64,91333,110,0,1600,3,1050,False,True
74,68285,110,0,1600,3,1050,False,True
22,37400,97,0,1400,5,1110,False,True
16,34472,90,0,1995,3,1260,True,False
71,139145,73,0,2000,2,1115,True,False
41,123425,69,0,1900,5,1140,True,False
35,46304,97,0,1400,5,1060,False,True
41,24475,110,0,1600,5,1030,False,True
50,50400,110,0,1600,5,1080,False,True
65,82000,86,0,1300,3,1015,False,True
65,93408,86,0,1300,3,1015,False,True
2,225,97,0,1400,5,1110,False,True
4,4000,116,0,2000,5,1480,True,False
64,41200,110,0,1600,5,1070,False,True
78,130000,86,0,1300,5,1015,False,True
43,89968,69,0,1900,5,1140,True,False
68,61504,110,0,1600,4,1035,False,True
26,56000,110,1,1600,5,1180,False,True
47,45850,97,0,1400,5,1060,False,True
66,58654,110,0,1600,5,1070,False,True
60,70453,72,0,2000,5,1135,True,False
77,114258,86,0,1300,5,1050,False,True
61,97648,110,0,1600,3,1065,False,True
2,15,110,0,1600,5,1130,False,True
13,25170,110,0,1600,5,1105,False,True
59,61127,110,0,1600,3,1050,False,True
25,20019,110,1,16000,5,1180,False,True
71,98154,110,0,1600,3,1050,False,True
19,13748,97,0,1400,3,1100,False,True
54,46230,110,0,1600,3,1055,False,True
57,102300,72,0,2000,5,1135,True,False
48,63000,69,0,1900,5,1140,True,False
14,6000,110,0,1600,5,1130,False,True
43,55539,110,0,1600,5,1085,False,True
42,38932,110,0,1600,3,1040,False,True
55,74715,110,0,1600,5,1080,False,True
68,91505,72,0,2000,3,1115,True,False
34,32431,97,0,1400,5,1060,False,True
19,25948,97,0,1400,3,1100,False,True
78,217764,72,0,2000,5,1135,True,False
70,85000,110,0,1600,3,1055,False,True
13,18000,71,0,1400,3,1125,False,True
49,80090,97,0,1400,3,1030,False,True
80,58000,110,0,1600,3,1055,False,True
76,73116,110,0,1600,5,1075,False,True
76,67266,86,0,1300,5,1035,False,True
77,70932,110,0,1600,3,1050,False,True
43,39650,110,0,1600,3,1055,False,True
70,87000,110,0,1600,4,1035,False,True
73,84988,110,0,1600,3,1050,False,True
48,140700,69,0,1900,5,1110,True,False
38,60829,110,0,1600,5,1075,False,True
78,90011,86,1,1300,3,1045,False,True
61,38019,110,0,1600,5,1070,False,True
41,39439,97,0,1400,5,1060,False,True
7,1,110,0,1600,3,1105,False,True
79,98742,110,0,1600,5,1085,False,True
67,104000,86,0,1300,3,1020,False,True
42,55400,110,0,1600,5,1075,False,True
74,203254,72,0,2000,3,1135,True,False
62,26000,107,1,1600,3,1085,False,True
32,29198,97,0,1400,5,1060,False,True
20,31850,110,0,1600,3,1120,False,True
69,53809,110,0,1600,3,1050,False,True
26,32692,97,0,1400,3,1100,False,True
70,178800,72,0,2000,3,1115,True,False
56,74500,97,0,1400,3,1025,False,True
50,74849,110,1,1600,4,1060,False,True
65,71317,110,0,1600,3,1050,False,True
69,20544,86,0,1300,3,1025,False,True
58,47171,86,0,1300,3,1015,False,True
77,78435,86,0,1300,3,1015,False,True
27,23489,110,0,1600,5,1115,False,True
25,15414,97,0,1400,5,1110,False,True
79,39800,107,1,1600,3,1080,False,True
25,17003,97,0,1400,5,1110,False,True
54,71276,110,0,1600,5,1080,False,True
73,52000,110,1,1600,4,1065,False,True
63,103400,110,0,1600,5,1075,False,True
63,59000,110,0,1600,3,1050,False,True
57,28000,86,0,1300,3,1015,False,True
47,78785,110,0,1600,5,1119,False,False
64,118000,72,0,2000,5,1150,True,False
65,33000,110,0,1600,3,1050,False,True
68,68865,110,0,1600,3,1065,False,True
80,102300,86,0,1300,3,1015,False,True
52,104805,97,0,1400,3,1025,False,True
78,78689,110,0,1600,4,1035,False,True
71,78260,110,0,1600,3,1050,False,True
69,89096,110,0,1600,5,1085,False,True
11,14635,110,1,1600,3,1155,False,True
67,174833,72,0,2000,4,1100,True,False
62,50000,110,0,1600,5,1075,False,True
73,56566,110,0,1600,3,1050,False,True
64,65000,110,0,1600,3,1050,False,True
31,36544,110,0,1600,5,1130,False,True
40,45886,110,0,1600,5,1080,False,True
78,109263,110,0,1600,5,1070,False,True
44,59000,110,1,1600,5,1110,False,True
44,71793,110,0,1600,4,1067,False,False
16,20105,97,0,1400,5,1110,False,True
77,62595,110,0,1600,3,1050,False,True
33,16512,97,0,1400,5,1085,False,True
20,63000,90,0,2000,5,1255,True,False
79,138500,86,0,1300,5,1050,False,True
33,55350,110,0,1600,5,1075,False,True
76,53133,110,0,1600,5,1070,False,True
23,71138,69,0,1900,3,1105,True,False
49,74494,110,0,1600,5,1075,False,True
61,92498,110,0,1600,3,1050,False,True
42,53350,110,0,1600,5,1075,False,True
50,22648,97,0,1400,5,1060,False,True
54,138394,69,0,1900,4,1095,True,False
77,62285,110,0,1600,5,1075,False,True
74,101000,86,0,1300,3,1015,False,True
54,40325,86,0,1300,5,1045,False,True
69,83133,86,0,1300,3,1015,False,True
78,69000,110,0,1600,5,1075,False,True
55,69813,97,0,1400,3,1025,False,True
61,88127,86,0,1300,3,1015,False,True
74,66718,110,0,1600,3,1050,False,True
15,20270,110,0,1600,5,1130,False,True
47,57500,110,0,1600,4,1105,False,True
76,183277,72,0,2000,3,1115,True,False
68,83000,107,1,1600,5,1100,False,True
78,65500,86,0,1300,3,1015,False,True
62,85000,110,0,1600,3,1050,False,True
52,46449,110,0,1600,4,1035,False,True
7,6250,110,0,1600,5,1115,False,True
80,52700,110,0,1600,3,1050,False,True
67,95750,110,0,1600,5,1070,False,True
65,64630,110,0,1600,5,1070,False,True
63,45000,110,0,1600,4,1035,False,True
59,65463,110,0,1600,5,1070,False,True
67,70000,107,1,1587,3,1065,False,True
78,24000,86,1,1300,5,1065,False,True
30,75889,90,0,2000,3,1245,True,False
78,161775,86,0,1300,3,1015,False,True
67,108793,110,0,1600,4,1035,False,True
71,120000,110,0,1600,5,1085,False,True
33,24650,110,0,1600,3,1055,False,True
68,53000,86,0,1300,3,1015,False,True
43,33113,110,0,1600,5,1075,False,True
64,43000,86,0,1300,3,1015,False,True
76,124591,110,0,1600,5,1075,False,True
76,154900,72,0,2000,5,1140,True,False
44,52000,97,0,1400,3,1025,False,True
72,110634,86,0,1300,3,1015,False,True
40,17051,97,0,1400,5,1060,False,True
77,172980,72,0,2000,5,1135,True,False
63,65896,110,0,1600,3,1065,False,True
13,21428,110,0,1600,5,1130,False,True
52,49432,110,0,1600,3,1050,False,True
80,128351,110,0,1600,5,1070,False,True
67,57000,110,0,1600,3,1050,False,True
69,146304,72,0,2000,3,1115,True,False
75,58341,86,1,1300,4,1030,False,True
54,77270,110,0,1600,4,1035,False,True
54,47852,110,0,1600,4,1030,False,True
74,100732,86,1,1300,4,1030,False,True
35,65988,110,0,1600,3,1040,False,True
61,50173,110,0,1600,5,1075,False,True
42,64564,110,0,1600,5,1080,False,True
74,84123,110,0,1600,3,1050,False,True
76,81930,110,0,1600,5,1070,False,True
34,78677,110,1,1600,5,1105,False,True
30,22000,97,0,1400,5,1110,False,True
19,18328,110,0,1600,5,1130,False,True
70,81663,110,0,1600,3,1050,False,True
62,105000,86,0,1300,5,1040,False,True
74,121900,110,0,1600,4,1035,False,True
63,41586,110,0,1600,5,1114,False,True
77,61906,86,1,1300,5,1065,False,True
13,29371,110,0,1600,4,1105,False,True
71,115157,110,0,1600,3,1050,False,True
50,102030,97,0,1400,5,1060,False,True
62,53285,110,0,1600,5,1075,False,True
55,54900,97,0,1400,5,1060,False,True
75,107000,110,0,1600,3,1050,False,True
48,56675,97,0,1400,3,1025,False,True
64,52968,110,0,1600,3,1050,False,True
38,28150,110,0,1600,5,1075,False,True
53,143513,69,0,1900,5,1140,True,False
23,46986,90,0,2000,3,1165,True,False
39,24444,110,0,1600,3,1040,False,True
76,60000,110,0,1600,3,1050,False,True
54,64000,97,0,1400,3,1025,False,True
80,84000,110,0,1600,5,1075,False,True
26,43000,97,0,1400,5,1110,False,True
59,121626,86,0,1300,5,1050,False,True
72,78120,110,0,1600,5,1075,False,True
68,44458,86,0,1300,3,1015,False,True
68,62292,110,0,1600,3,1065,False,True
8,10077,97,0,1400,5,1110,False,True
50,73634,110,0,1587,5,1075,False,True
16,36000,110,0,1600,5,1130,False,True
80,137178,90,0,2000,5,1135,True,False
48,48071,97,0,1400,3,1025,False,True
58,91000,110,0,1600,5,1075,False,True
20,48110,97,0,1400,3,1100,False,True
69,52000,110,0,1600,3,1050,False,True
7,450,97,0,1400,5,1110,False,True
63,57000,86,0,1300,5,1035,False,True
67,75429,110,0,1600,3,1065,False,True
49,97600,110,0,1600,3,1045,False,True
43,54600,110,0,1600,4,1030,False,True
25,29719,97,0,1400,5,1110,False,True
64,73376,110,0,1600,5,1070,False,True
20,29797,97,0,1400,5,1110,False,True
37,39757,110,0,1600,5,1075,False,True
61,54000,110,0,1600,3,1055,False,True
42,33623,97,0,1400,3,1025,False,True
73,47360,86,0,1300,3,1010,False,True
69,156204,72,0,2000,3,1115,True,False
53,57948,97,0,1400,3,1025,False,True
58,55478,86,0,1300,5,1045,False,True
63,68153,110,0,1600,5,1085,False,True
38,22865,110,0,1600,5,1075,False,True
52,58596,110,0,1600,3,1045,False,True
78,43622,86,0,1300,4,1000,False,True
43,30742,110,0,1600,3,1040,False,True
53,90200,97,0,1400,3,1025,False,True
11,6155,97,0,1400,5,1110,False,True
28,44142,110,0,1600,3,1120,False,True
55,52141,110,0,1600,5,1070,False,True
40,130062,69,0,1900,5,1140,True,False
61,59000,110,0,1600,5,1070,False,True
73,70482,110,0,1600,5,1075,False,True
80,70597,107,1,1600,3,1080,False,True
9,1,98,0,1400,4,1065,False,True
60,40000,86,0,1300,4,1000,False,True
63,115000,110,0,1600,3,1109,False,False
8,10000,97,0,1400,5,1110,False,True
48,50967,97,0,1400,5,1060,False,True
77,98000,110,0,1600,5,1065,False,True
60,43426,110,0,1600,5,1070,False,True
54,60239,110,0,1600,5,1075,False,True
23,28227,97,0,1400,5,1110,False,True
75,89507,86,0,1300,3,1015,False,True
52,29500,110,0,1600,3,1055,False,True
61,80714,110,0,1600,5,1075,False,True
59,112827,86,0,1300,5,1040,False,True
61,66259,110,0,1600,3,1065,False,True
41,61000,110,0,1600,5,1075,False,True
60,85000,86,0,1300,3,1025,False,True
33,78108,90,0,2000,3,1170,True,False
9,7650,110,0,1600,5,1115,False,True
19,29441,97,0,1400,5,1110,False,True
71,72128,107,1,1600,5,1100,False,True
40,73042,110,0,1598,5,1075,False,True
80,94447,110,0,1600,3,1050,False,True
1,1,110,0,1600,5,1075,False,True
27,44068,97,0,1400,3,1100,False,True
61,97425,110,0,1600,5,1075,False,True
20,7187,110,0,1600,3,1105,False,True
32,25329,97,0,1400,3,1100,False,True
52,36000,110,0,1600,5,1075,False,True
60,58269,110,0,1600,3,1050,False,True
72,86860,110,0,1600,5,1075,False,True
79,55425,110,0,1600,5,1075,False,True
56,62751,110,0,1600,3,1050,False,True
52,66527,110,0,1600,5,1080,False,True
60,61100,86,0,1300,3,1015,False,True
29,25813,110,0,1600,3,1120,False,True
59,56259,86,0,1300,3,1015,False,True
69,97000,110,0,1600,4,1035,False,True
22,30000,110,0,2000,5,1275,True,False
58,61343,110,0,1600,5,1075,False,True
73,87000,86,0,1300,3,1015,False,True
35,21904,97,0,1400,3,1025,False,True
54,55877,110,0,1600,5,1075,False,True
68,65400,86,0,1300,4,1000,False,True
72,75840,86,0,1300,5,1035,False,True
55,150000,110,0,1600,3,1075,False,False
65,84558,110,0,1600,5,1120,False,True
64,89145,86,0,1300,3,1025,False,True
71,74000,110,0,1600,3,1050,False,True
50,72242,110,1,1600,3,1070,False,True
39,50000,97,0,1400,5,1060,False,True
23,28000,110,0,1600,5,1115,False,True
58,58000,110,0,1600,3,1050,False,True
42,61300,97,0,1400,3,1030,False,True
48,75045,110,0,1600,3,1055,False,True
48,119742,110,0,1600,5,1080,False,True
67,155500,110,0,1600,5,1050,False,True
8,7000,110,0,1600,5,1115,False,True
24,25563,110,0,1600,3,1065,False,True
78,75323,86,0,1300,5,1050,False,True
71,59164,110,0,1600,4,1035,False,True
44,29716,110,1,1600,3,1070,False,True
67,49585,110,0,1600,5,1085,False,True
62,61930,110,0,1600,4,1035,False,True
56,19313,97,0,1400,3,1025,False,True
27,37177,110,0,1600,5,1130,False,True
73,87358,110,0,1600,3,1050,False,True
35,48052,69,0,1900,3,1105,True,False
79,99397,86,0,1300,5,1035,False,True
67,62316,110,0,1600,3,1050,False,True
75,150000,72,0,2000,3,1135,True,False
79,61165,107,1,1600,3,1080,False,True
43,46515,97,0,1400,5,1025,False,True
74,120196,110,0,1600,3,1050,False,True
66,97046,86,0,1300,4,1000,False,True
37,21500,110,0,1600,5,1030,False,True
80,66843,110,0,1600,5,1075,False,True
25,25000,97,0,1400,3,1100,False,True
62,84549,110,0,1600,5,1075,False,True
